封闭小区，婚房精装修，上下跃层两室一厅_大连观山悦二手房2室1厅81.38平米㎡【大连贝壳找房】,封闭小区，婚房精装修，上下跃层两室一厅,观山悦一期小高层，落地窗装修好，视野好,96,78万,9584.7元/平米,2室1厅,高楼层/共18层,南,跃层/精装,81.38平米,2014年建/板塔结合,小区名称:观山悦$所在区域:金州 金润$看房时间:可看时间请咨询经纪人$贝壳编号:19050211510100142515$,房屋户型:2室1厅1卫$所在楼层:高楼层 (共18层)$建筑面积:81.38㎡$户型结构:跃层$建筑类型:板塔结合$房屋朝向:南$建筑结构:钢混结构$装修情况:精装$梯户比例:两梯四户$供暖方式:集中供暖$配备电梯:有$产权年限:70年$挂牌时间:2019年05月02日$交易权属:商品房$上次交易:暂无数据$房屋用途:普通住宅$房屋年限:暂无数据$产权所属:共有$抵押信息:无抵押$房本备件:详情请咨询经纪人$,房源特色:地铁$核心卖点:观山悦一期小高层，落地窗装修好，视野好$交通出行:五一路沿线，东山轻轨站，106，108，111公交车 距离801 802 803公交车站500米 方便你的出行$小区介绍:此房所在的小区是金州比较大的小区，配套好，居住舒适，生活便利。$户型介绍:此房为南北通厅两室一厅，可以形成自然风，采光充足，中间楼层视野宽阔$,客厅:19.16平米 南 普通窗$卧室A:10.11平米 南 普通窗$卧室B:12.84平米 南 落地窗$厨房:3.95平米 无 无窗$卫生间:3.29平米 无 无窗$阳台:3.36平米 南 普通窗$过道:4.55平米 无 无窗$,第1页第1个房源
龙畔金泉四期 2室2厅 南 北_大连龙畔金泉四期二手房2室2厅65.96平米㎡【大连贝壳找房】,龙畔金泉四期 2室2厅 南 北,,109,67.5万,10233.5元/平米,2室2厅,高楼层/共6层,南 北,复式/简装,65.96平米,2005年建/板楼,小区名称:龙畔金泉四期$所在区域:甘井子 泉水龙畔金泉$看房时间:可看时间请咨询经纪人$贝壳编号:18091811510100406446$,房屋户型:2室2厅1卫$所在楼层:高楼层 (共6层)$建筑面积:65.96㎡$户型结构:复式$建筑类型:板楼$房屋朝向:南 北$建筑结构:钢混结构$装修情况:简装$梯户比例:一梯两户$供暖方式:集中供暖$产权年限:70年$挂牌时间:2019年03月18日$交易权属:商品房$上次交易:暂无数据$房屋用途:普通住宅$房屋年限:暂无数据$产权所属:非共有$抵押信息:有抵押 40万元$房本备件:详情请咨询经纪人$,房源特色:随时看房 地铁$,客厅:25.99平米 南 普通窗$卧室A:11.79平米 北 普通窗$卧室B:14.14平米 南 普通窗$厨房:5.3平米 北 普通窗$卫生间:4.35平米 无 无窗$阳台:4.4平米 南 普通窗$储物间:15.54平米 无 无窗$,第1页第2个房源
双南挑担户型，两室精装，拎包入住，采光好，视野好_大连锦江园西北路二手房2室1厅62.4平米㎡【大连贝壳找房】,双南挑担户型，两室精装，拎包入住，采光好，视野好,双南挑担户型，两室精装，拎包入住，采光好，视野好,147,60.8万,9743.6元/平米,2室1厅,高楼层/共7层,南,平层/精装,62.4平米,2000年建/板楼,小区名称:锦江园西北路$所在区域:沙河口 锦绣$看房时间:可看时间请咨询经纪人$贝壳编号:19082711510100107064$,房屋户型:2室1厅1卫$所在楼层:高楼层 (共7层)$建筑面积:62.4㎡$户型结构:平层$套内面积:62.4㎡$建筑类型:板楼$房屋朝向:南$建筑结构:砖混结构$装修情况:精装$梯户比例:一梯三户$供暖方式:集中供暖$产权年限:70年$挂牌时间:2019年08月27日$交易权属:商品房$上次交易:2010-08-10$房屋用途:普通住宅$房屋年限:满五年$产权所属:非共有$抵押信息:无抵押$房本备件:已上传房本照片$,"房源特色:满五年 随时看房$核心卖点:双南挑担户型，两室精装，拎包入住，采光好，视野好$小区介绍:小区是2000年建的，是锦绣集团开发商，全部以多层建筑为主，都是6层或7层顶住宅，小区物业是锦云物业，物业费0.35元平，十分便宜，小区内车位充足，停车很方便。$周边配套:小区地段繁华，配套成熟，有市场，早市，夜市,大商超市，新隆嘉，银行，派出所,医院等一应俱全，生活购物都很方便$交通出行:小区公交站点齐全,有31.33.37.39.46.602.613.512.542.543.701.707.717.908等可一趟直达火车站，青泥洼桥和中山广场等，交通便捷$户型介绍:经典双南挑担，进门左手边是卫生间，客厅是二次采光，亮堂。南厨房，两个南卧室$",客厅:16.09平米 无 无窗$卧室A:12.86平米 南 普通窗$卧室B:11.56平米 南 普通窗$厨房:4.76平米 南 普通窗$卫生间:3.31平米 无 无窗$,第1页第3个房源
婚房装修 采光好 拎包住 12年全封闭新小区_大连润泽园二手房2室1厅87.48平米㎡【大连贝壳找房】,婚房装修 采光好 拎包住 12年全封闭新小区,物业负责 婚房装修  拎包住 新小区 看房方便,129,132.8万,15180.6元/平米,2室1厅,高楼层/共18层,南,平层/精装,87.48平米,2012年建/板楼,小区名称:润泽园$所在区域:甘井子 泉水美域盛景$看房时间:可看时间请咨询经纪人$贝壳编号:18091711510100163781$,房屋户型:2室1厅1卫$所在楼层:高楼层 (共18层)$建筑面积:87.48㎡$户型结构:平层$建筑类型:板楼$房屋朝向:南$建筑结构:钢混结构$装修情况:精装$梯户比例:两梯七户$供暖方式:集中供暖$配备电梯:有$产权年限:70年$挂牌时间:2019年02月11日$交易权属:商品房$上次交易:暂无数据$房屋用途:普通住宅$房屋年限:暂无数据$产权所属:非共有$抵押信息:无抵押$房本备件:详情请咨询经纪人$,房源特色:$核心卖点:物业负责 婚房装修  拎包住 新小区 看房方便$交通出行:地铁华南站，轻轨泉水站，东快路和东联路两大快速公路都有上下道口，公交517路 41路 516路 38路 42路 303路 等多条公交线路，出行方便。$小区介绍:此房所在小区是2012年建成交付使用的.封闭新小区，小区内主力户型以小高层板楼为主，绿化好，环境好$周边配套:华南沃尔玛 安盛购物广场 亿合城 沃特 百思德绿天地 小区有诊所，超市，洗衣店等等。$,客厅:26.79平米 南 落地窗$卧室A:12.49平米 南 普通窗$卧室B:9.25平米 南 落地窗$厨房:5.08平米 无 落地窗$卫生间:3.92平米 无 无窗$阳台A:3.3平米 南 东 落地窗$阳台B:4.75平米 南 落地窗$,第1页第4个房源
马栏广场 下楼地铁 3楼两室的房子  有30平的平台_大连马栏广场二手房2室1厅78.4平米㎡【大连贝壳找房】,马栏广场 下楼地铁 3楼两室的房子  有30平的平台,马栏广场 下楼地铁 3楼两室的房子  有30平的平台,219,88万,11224.5元/平米,2室1厅,低楼层/共12层,南 北,平层/精装,78.4平米,2000年建/塔楼,小区名称:马栏广场$所在区域:沙河口 马栏$看房时间:可看时间请咨询经纪人$贝壳编号:18120111510100122920$,房屋户型:2室1厅1卫$所在楼层:低楼层 (共12层)$建筑面积:78.4㎡$户型结构:平层$建筑类型:塔楼$房屋朝向:南 北$建筑结构:砖混结构$装修情况:精装$梯户比例:一梯十四户$供暖方式:集中供暖$配备电梯:有$产权年限:70年$挂牌时间:2018年12月01日$交易权属:商品房$上次交易:暂无数据$房屋用途:普通住宅$房屋年限:暂无数据$产权所属:共有$抵押信息:无抵押$房本备件:详情请咨询经纪人$,房源特色:地铁$核心卖点:马栏广场 下楼地铁 3楼两室的房子  有30平的平台$户型介绍:两室的房子，南北的房子，3楼的房子，没有坡，北窗在走廊上，房子保持的很干净。$交通出行:下楼就是马栏广场，有公交车101，715，716，708，709，534，535，522，3，地铁2号线$周边配套:小区出门100米就有马栏农贸市场，东行1000米有大连第五人民医院，辽南工科医院，红星美凯龙，万家惠大型超市，大商新玛特，空间8度KTV，华美电影院，东行800米有威尔斯健身，生活设施完备，生活方便$,客厅:14.11平米 南 普通窗$卧室A:8.39平米 无 无窗$卧室B:11.42平米 南 普通窗$厨房:3.65平米 无 无窗$卫生间:1.84平米 无 无窗$过道:3.77平米 无 无窗$,第1页第5个房源
房主急售 南北户型 独立厨房 阳台已经封闭_大连龙畔金泉五期K4区二手房2室1厅89.59平米㎡【大连贝壳找房】,房主急售 南北户型 独立厨房 阳台已经封闭,此房房主诚心卖房，小区配套齐，楼层采光很好，刚需    改善..,93,106万,11831.7元/平米,2室1厅,高楼层/共18层,南 北,平层/精装,89.59平米,2008年建/板楼,小区名称:龙畔金泉五期K4区$所在区域:甘井子 泉水龙畔金泉$看房时间:可看时间请咨询经纪人$贝壳编号:19070411510100123088$,房屋户型:2室1厅1卫$所在楼层:高楼层 (共18层)$建筑面积:89.59㎡$户型结构:平层$建筑类型:板楼$房屋朝向:南 北$建筑结构:钢混结构$装修情况:精装$梯户比例:两梯四户$供暖方式:集中供暖$配备电梯:有$产权年限:70年$挂牌时间:2019年07月04日$交易权属:商品房$上次交易:暂无数据$房屋用途:普通住宅$房屋年限:暂无数据$产权所属:共有$抵押信息:有抵押 10万元$房本备件:详情请咨询经纪人$,"房源特色:随时看房$核心卖点:此房房主诚心卖房，小区配套齐，楼层采光很好，刚需    改善..$户型介绍:此房户型好，独立厨房，厨房带一个封闭阳台 房子保持干净 .....$交通出行:出门42路一站地泉水快轨站,6战地到达华南,303终点站到达青泥洼桥,1025.1109.45.21到达市内各个区域,出行方便$小区介绍:龙畔金泉小区08年小区 坐落于大连北部东北路与中华路交汇点处，大型主题公园及各个小广场篮球场网球场、儿童活动场等配套设施完善的活动场所售增意趣，打造健康社区，美好生活无须等待。社区内拥有6700平方米大型地下超市，轻松满足一站式消费$周边配套:中间楼层,适合大众人群居住,配套齐,出门42.303公交直达华南,青泥洼桥,公交42路一站地到达泉水快规站.出门下楼北行100米 欧尚大型超市$",客厅:28.31平米 北 普通窗$卧室A:11.68平米 北 普通窗$卧室B:16.15平米 南 普通窗$厨房:6.31平米 无 无窗$卫生间:5.36平米 无 无窗$储物间:1.97平米 北 落地窗$,第1页第6个房源
"4楼,楼层好,采光充足,拎包入住，急售可谈_大连南沙二手房2室1厅50.78平米㎡【大连贝壳找房】","4楼,楼层好,采光充足,拎包入住，急售可谈","户型好,采光充足,近车站,近市场,成熟社区,装修可以拎包入住....",172,68.5万,13489.6元/平米,2室1厅,中楼层/共6层,南,平层/精装,50.78平米,1995年建/板楼,小区名称:南沙$所在区域:沙河口 南沙$看房时间:可看时间请咨询经纪人$贝壳编号:19080211510100160966$,房屋户型:2室1厅1卫$所在楼层:中楼层 (共6层)$建筑面积:50.78㎡$户型结构:平层$套内面积:50㎡$建筑类型:板楼$房屋朝向:南$建筑结构:钢混结构$装修情况:精装$梯户比例:一梯三户$供暖方式:集中供暖$产权年限:70年$挂牌时间:2019年08月02日$交易权属:商品房$上次交易:2013-05-04$房屋用途:普通住宅$房屋年限:满五年$产权所属:非共有$抵押信息:无抵押$房本备件:已上传房本照片$,"房源特色:满五年$核心卖点:户型好,采光充足,近车站,近市场,成熟社区,装修可以拎包入住....$户型介绍:双南向,2个南向卧室,厨房在阳台上,一进门是卫生间,装修好......$交通出行:房子交通出行15路533路715路528路14路26路等出行方便,四通八达$周边配套:配套,环洲生鲜超市,西南路早市,熟食品交易市场,大商超市,饭店,银行,超市,一应俱全$",餐厅:9.4平米 无 无窗$卧室A:13.89平米 南 普通窗$卧室B:13.87平米 南 普通窗$厨房:3.22平米 南 东 西 普通窗$卫:1.86平米 无 无窗$,第1页第7个房源
沙河口区西苑新区小区环境好，近地铁车站_大连西苑新区二手房2室1厅66.41平米㎡【大连贝壳找房】,沙河口区西苑新区小区环境好，近地铁车站,马栏广场成熟小区无坡，近地铁，近车站，地铁2号线,80,89万,13401.6元/平米,2室1厅,高楼层/共7层,南 北,复式/精装,66.41平米,2000年建/板楼,小区名称:西苑新区$所在区域:沙河口 马栏$看房时间:可看时间请咨询经纪人$贝壳编号:19091611510100141411$,房屋户型:2室1厅1卫$所在楼层:高楼层 (共7层)$建筑面积:66.41㎡$户型结构:复式$建筑类型:板楼$房屋朝向:南 北$建筑结构:钢混结构$装修情况:精装$梯户比例:一梯三户$供暖方式:集中供暖$产权年限:70年$挂牌时间:2019年09月16日$交易权属:商品房$上次交易:暂无数据$房屋用途:普通住宅$房屋年限:暂无数据$产权所属:共有$抵押信息:无抵押$房本备件:详情请咨询经纪人$,"房源特色:随时看房 地铁$核心卖点:马栏广场成熟小区无坡，近地铁，近车站，地铁2号线$交通出行:：
公交线路：3，708,705,101,534,715,535，地铁二号线等$周边配套:大商商场，新玛特超市，华美影城，空间八度，红星美凯龙家居商场 国美电器第五人民医院等配套$小区介绍:小区是1998年建成，小区内有小广场，多个停车位，内带幼儿园，西苑洗浴，近马栏广场商圈，生活出行方便$装修描述:中等装修本色装修，这样更能节省价钱，免得房主把装修钱加上，自己怎么改造也不心疼，户型很正$适宜人群:本房适宜结婚小两口或者老年人，小区里就有幼儿园，文苑，西面农贸市场，东面五院，北面马栏广场正中新，出行方便购物方便。$",客厅:19.08平米 无 无窗$卧室A:16.83平米 西南 普通窗$卧室B:11.47平米 东北 普通窗$厨房:5.52平米 东北 普通窗$卫生间:3.65平米 无 无窗$阁楼:29.2平米 无 无窗$,第1页第8个房源
海景房，视野开阔，光线充足，交通便利。_大连世茂御龙海湾二手房1室1厅58.58平米㎡【大连贝壳找房】,海景房，视野开阔，光线充足，交通便利。,海景房，视野开阔，光线充足，交通便利。,19,32万,5462.6元/平米,1室1厅,高楼层/共18层,东,平层/精装,58.58平米,2014年建/塔楼,小区名称:世茂御龙海湾$所在区域:金州 金州其他$看房时间:可看时间请咨询经纪人$贝壳编号:19032411510100137293$,房屋户型:1室1厅1卫$所在楼层:高楼层 (共18层)$建筑面积:58.58㎡$户型结构:平层$建筑类型:塔楼$房屋朝向:东$建筑结构:钢混结构$装修情况:精装$梯户比例:两梯十二户$供暖方式:集中供暖$配备电梯:有$产权年限:70年$挂牌时间:2019年03月24日$交易权属:商品房$上次交易:2016-06-03$房屋用途:普通住宅$房屋年限:满两年$产权所属:非共有$抵押信息:无抵押$房本备件:已上传房本照片$,"房源特色:满两年 随时看房$核心卖点:海景房，视野开阔，光线充足，交通便利。$户型介绍:南向带一阳台，一室一厨房一卫生间。南向卧室采光较好，海景一览无余。$装修描述:此小区是开发商统一装修的，房主后期又重新装修了，家电齐全，保持较好，基本没住，适合休闲旅游居住。$周边配套:3万方的魔幻岛儿童乐园；3公里的阳光沙滩；世茂大道（在二期和三期中间，有一条街，目前已经入驻了20多户商家）；世茂温泉酒店（在三期西侧，东南亚风格的建筑，属于世茂自己的酒店，总建筑面积40000平方米）；3万平体育运动公园；
房主自荐(业主对房源的..$",卧室:21.18平米 南 落地窗$厨房:5.53平米 西 普通窗$卫生间:3.47平米 无 无窗$阳台:4.06平米 南 东 西 落地窗$过道:4.26平米 南 普通窗$,第1页第9个房源
新希望家园 2室1厅 南_大连新希望家园二手房2室1厅56平米㎡【大连贝壳找房】,新希望家园 2室1厅 南,,36,44.3万,7910.7元/平米,2室1厅,中楼层/共28层,南,平层/精装,56平米,2009年建/板塔结合,小区名称:新希望家园$所在区域:金州 城润$看房时间:可看时间请咨询经纪人$贝壳编号:19081611510100114056$,房屋户型:2室1厅1卫$所在楼层:中楼层 (共28层)$建筑面积:56㎡$户型结构:平层$建筑类型:板塔结合$房屋朝向:南$建筑结构:钢混结构$装修情况:精装$梯户比例:两梯九户$供暖方式:集中供暖$配备电梯:有$产权年限:70年$挂牌时间:2019年08月16日$交易权属:商品房$上次交易:暂无数据$房屋用途:普通住宅$房屋年限:暂无数据$产权所属:共有$抵押信息:有抵押 28万元 浦发 公司垫资$房本备件:详情请咨询经纪人$,房源特色:随时看房 地铁$,客厅:11.95平米 南 普通窗$卧室A:5.85平米 无 无窗$卧室B:10.33平米 南 普通窗$厨房:2.73平米 南 东 普通窗$卫生间:3.64平米 无 无窗$阳台:2.36平米 南 东 普通窗$,第1页第10个房源
